,Document Title,PublicationAvenue,Publication Year,Abstract,Article Citation Count
39,Nòmos 3: Reasoning about regulatory compliance of requirements,2014 IEEE 22nd International Requirements Engineering Conference (RE),2014,The great impact that law has in the RE-process has called for new techniques and procedures to evaluate the alignment of requirements with applicable laws. In this paper we present a modeling language for the evaluation of compliance of requirements with a piece of law: Nòmos 3. We introduce our language and show the reasoning capabilities of our proposal.,5
40,Tool support for combined rule-based and goal-based reasoning in Context-Aware systems,2012 20th IEEE International Requirements Engineering Conference (RE),2012,"Context-aware systems often use rule-based reasoning engines for decision making without involving explicit interaction with the user. While rule-based systems excel in filtering out unsuitable solutions based on clear criteria, it is difficult to rank suitable solutions based on vague, qualitative criteria with a rule-based approach. Moreover, the description of such systems is typically ad-hoc without well-defined modeling tasks. CARGO (Context-Aware Reasoning using Goal-Orientation) aims to address these problems by combining rule-based and goal-based reasoning as well as scenario-based modeling to provide a more comprehensive way to define context-aware systems and to process contextual information. This demo presents CARGO, a modeling, simulation, and execution environment for context-aware systems built on existing tool support for the User Requirements Notation.",5
41,rΣ: Automated reasoning tool for non-functional requirement goal models,2011 IEEE 19th International Requirements Engineering Conference,2011,"Reasoning is critical for non-functional requirements (NFRs) analysis and verification. Furthermore, it can provide rationale about implementation strategies for NFRs. The existing tools can execute an interactive reasoning process which sometimes needs extra information from stakeholders. We build a tool called rΣ for reasoning on NFR models especially when extra information is unavailable or forbidden, like at the model verification stage. This tool employs the formula style model as the input, automatically promotes the reasoning process till the root node, and returns all the satisficing statuses and the complete rationale as the output. We have applied rΣ into the real practice and to evaluate its efficiency.",3
42,Requirements Reasoning for Distributed Requirements Analysis Using Semantic Wiki,2009 Fourth IEEE International Conference on Global Software Engineering,2009,"In large-scale collaborative software projects, thousands of requirements with complex interdependencies and different granularity spreading in different levels are elicited, documented, and evolved during the project lifecycle. Non-technical stakeholders involved in requirements engineering activities rarely apply formal techniques; therefore it is infeasible to automatically detect problems in requirements. This situation becomes even worse in a distributed context when all sites are responsible to maintain their own requirements list using various requirements models and management tools, and the detection of requirements problems across multiple sites is error-prone, and un-affordable if performed manually. This paper proposes an integrated approach of basing distributed requirements analysis on semantic Wiki by requirements reasoning. First, the functions concerning reasoning support provided by semantic Wiki for requirements analysis are proposed. Second, the underlying requirements rationale model for requirements reasoning is presented with sample reasoning rules. Third, our rationale model is mapped to the WinWin requirements negotiation model which further adds to its credibility.",21
43,A ubiquitous system for smart reasoning for well-being at home and at work,2012 IEEE International Conference on Pervasive Computing and Communications Workshops,2012,"The lifestyle of the Dutch workforce is degrading. Unhealthy habits cause both physical and psychological problems, putting a strain on the individual's well-being. In order to conquer both of these, a system will be created that will coach its user to improve their lifestyle through a better diet and promoting physical activity in order to improve their feeling of well-being. However, requirements engineering is troublesome in this domain. We propose ways to conquer these requirements engineering problems using model-driven engineering techniques.",1
44,Supporting quantitative reasoning of non-functional requirements: A process-oriented approach,2012 International Conference on Software and System Process (ICSSP),2012,"A long standing problem in software engineering is inadequate requirements elicitation, analysis, specification, validation and management. The lack of well defined requirements is one of the major causes of project failure. Several well-known techniques and frameworks have been developed to deal with the functional aspect of requirements engineering. Recent years have also seen the emergence of frameworks that incorporate non-functional requirements. The Non-Functional Requirements (NFR) Framework models non-functional requirements and associated implementation methods. This paper presents a process-orientated, lightweight, quantitative extension to the NFR Framework; focusing on providing quantitative support to the decision process and how decisions affect the system.",8
45,Retrieving design patterns by case-based reasoning and Formal Concept Analysis,2009 2nd IEEE International Conference on Computer Science and Information Technology,2009,"Design patterns are applied to solve the recurring software design problems. Unfortunately, choosing appropriate design patterns for the specific design problem is considered a difficult task. A search tool is, therefore, needed to supports selection. However, the existing design pattern searching methodologies generally have problems on keyword-search problem. In this paper, we proposed an initial model to solve the problem by using Case-Based Reasoning (CBR) and Formal Concept Analysis (FCA). For the proposed model, a case base is created to represent design patterns. FCA is used to be case organization that analyze case base for obtain knowledge embedded. The knowledge can suggest suitable indexes to use for new problem. This method is beneficial for learning index. This paper discusses the basis theoretical of representation and retrieval design patterns for this inprogress research, along with some preliminary result.",9
46,Mobile Ontology-based Reasoning and Feedback (MORF) Health Monitoring System,2008 Third International Conference on Digital Information Management,2008,"Over the past few years many medical professionals have shifted their focus to ubiquitous health monitoring systems. With continuous advancements in both bio-medical and information technologies, such futuristic monitoring systems have become a present reality. When intermixed with ubiquitous computing, a mobile health monitoring system provides unrestrained potential and innumerable applications. This research aims to improve upon and advance beyond modern medical monitoring systems by incorporating ontology-based reasoning to make the system independent and automated. In this paper, we present the main features of our ubiquitous mobile health monitoring system, its hardware and software design, and potential applications.",2
47,Reasoning with Inconsistent OWL Ontologies for Software Reuse,2009 WRI World Congress on Software Engineering,2009,"A framework for reasoning with inconsistent OWL ontologies is presented with the aim to support the design of Software design patterns. The priority information between axioms are given explicitly, allowing for the use of pieces of information having various levels of confidence, a preferential semantics is then defined for reasoning with prioritized ontology, the property of the method is studied, and the reasoning algorithms is given.",1
48,Use of Case-Based Reasoning to Automate the Testing of Electronic Forms,2023 Sixth International Conference of Women in Data Science at Prince Sultan University (WiDS PSU),2023,"The digital transformation increases the usage of electronic forms (e-forms). Every e-form has its fields with specific validation requirements. Testing the field’s validity of the input is required to improve the performance. However, manual testing is time consuming and requires efforts. Hence, automating this task can reduce efforts, time, and costs. In this research study, we propose a software that tests e-forms fields’ validations using the well-known AI technique called Case-Based Reasoning (CBR). The integration of CBR contributes to easily collecting the validations requirements for each field. This software helps in raising quality and reducing testing time and efforts. It includes the registration and contact us e-forms, which are the most commonly used types of e-forms. We demonstrated the efficiency of CBR in testing the registration and contact us e-forms. Moreover, the proposed software shows promising results in terms of precision (about 96% for the registration e-form and 95% for the contact us e-form) compared to the manual testing (about 82% and 91% respectively).",0
49,Dependence directed reasoning and learning in systems maintenance support,IEEE Transactions on Software Engineering,1988,"The maintenance of large information systems involves continuous modifications in response to evolving business conditions or changing user requirements. Based on evidence from a case study, it is shown that the system maintenance activity would benefit greatly if the process knowledge reflecting the teleology of a design could be captured and used in order to reason about he consequences of changing conditions or requirements, A formalism called REMAP (representation and maintenance of process knowledge) that accumulates design process knowledge to manage systems evolution is described. To accomplish this, REMAP acquires and maintains dependencies among the design decisions made during a prototyping process, and is able to learn general domain-specific design rules on which such dependencies are based. This knowledge cannot only be applied to prototype refinement and systems maintenance, but can also support the reuse of existing design or software fragments to construct similar ones using analogical reasoning techniques.<>",32
50,Planning Software Project Success with Semi-Quantitative Reasoning,2007 Australian Software Engineering Conference (ASWEC'07),2007,"Software process modeling and simulation hold out the promise of improving project planning and control. However, purely quantitative approaches require a very detailed understanding of the software project and process, including reliable and precise project data. Contemporary project management defines the success of project as a box or hyper-cube, rather than the traditional single point, which allows the planning for software project success semi-quantitatively with uncertainty-tolerance. This paper introduces semi-quantitative reasoning into software project planning and develops a practical approach to enhance the confidence of project success under the uncertainty and contingency. We illustrate its value and flexibility by a simplified software process model focusing on staffing issues.",4
51,Combining MaxSAT Reasoning and Incremental Upper Bound for the Maximum Clique Problem,2013 IEEE 25th International Conference on Tools with Artificial Intelligence,2013,"Recently, MaxSAT reasoning has been shown to be powerful in computing upper bounds for the cardinality of a maximum clique of a graph. However, existing upper bounds based on MaxSAT reasoning have two drawbacks: (1)at every node of the search tree, MaxSAT reasoning has to be performed from scratch to compute an upper bound and is time-consuming, (2) due to the NP-hardness of the MaxSAT problem, MaxSAT reasoning generally cannot be complete at anode of a search tree, and may not give an upper bound tight enough for pruning search space. In this paper, we propose an incremental upper bound and combine it with MaxSAT reasoning to remedy the two drawbacks. The new approach is used to develop an efficient branch-and-bound algorithm for MaxClique, called IncMaxCLQ. We conduct experiments to show the complementarity of the incremental upper bound and MaxSAT reasoning and to compare IncMaxCLQ with several state-of-the-art algorithms for MaxClique.",30
52,Reasoning about concurrent objects,Proceedings 1995 Asia Pacific Software Engineering Conference,1995,"Embedded specifications in object-oriented (OO) languages such as Eiffel and Sather are based on a rigorous approach towards validation, compatibility and reusability of sequential programs. The underlying method of ""design-by-contract"" is based on Hoare logic for which concurrency extensions exist. However concurrent OO languages are still in their infancy. They have inherently imperative facets, such as object identity, sharing, and synchronisation, which cannot be ignored in the semantics. Any marriage of objects and concurrency requires a trade-off in a space of intertwined qualities. The paper summarises our work on a type system, calculus and an operational model for concurrent objects in a minimal extension of the Eiffel and Sather languages (cSather). We omit concurrency control constructs and instead use assertions as synchronisation constraints for asynchronous functions. We show that this provides a framework in which subtyping and concurrency can coexist.",4
53,A pipelined fuzzy reasoning processor with software development system and its application on the crane control problem,"1995 IEEE International Conference on Systems, Man and Cybernetics. Intelligent Systems for the 21st Century",1995,"Fuzzy reasoning processors have been employed in many commercial and industrial applications. A high-performance pipelined, single-instruction-stream, and single-data-stream architecture of fuzzy reasoning engine has been designed. Based on this architecture, the proposed VLSI processor for embedded real-time fuzzy logic applications was fabricated in an 0.8-/spl mu/m CMOS technology. Its computation power can reach 2.5 million fuzzy logic inferences per second (MFLIPS) at a system clock of 20 MHz. In order to efficiently realize fuzzy applications, a software development system under Microsoft Windows has also been designed. For the purpose of showing its effectiveness, we have carried out the experiments to successfully control the crane system. Experimental results have shown the efficient cooperative control of the proposed fuzzy reasoning processor with software development system and can be contrast with conventional computer software interface control.",1
54,The application of case-based reasoning to early Web project cost estimation,Proceedings 26th Annual International Computer Software and Applications,2002,"Literature shows that over the years numerous techniques for estimating development effort have been suggested, derived from late project measures. However, to the successful management of software projects, estimates are necessary throughout the whole development life cycle. The objective is twofold. First, we describe the application of case-based reasoning (CBR) for estimating Web hypermedia development effort using measures collected at different stages in the development cycle. Second, we compare the prediction accuracy of those measures, obtained using different CBR configurations. Contrary to the expected, late measures did not show statistically significant better predictions than early measures.",22
55,Using an Architecture Reasoning Tool to Teach Software Architecture,20th Conference on Software Engineering Education & Training (CSEET'07),2007,"The Architecture Expert (ArchE) is a software architecture design assistant under development at the Software Engineering Institute (SEI). It embodies knowledge of quality attributes and the relation between the achievement of quality attribute requirements and architecture design. In this paper, we describe the use of ArchE in a graduate level software architecture class at Clemson University. The discussion combines aspects of using ArchE as a tool to produce architectures and using ArchE to teach about architecting. The students were positive about the use of ArchE although critical of ArchE's immaturity. The instructor was also positive about the use of ArchE.",6
56,"On Reasoning within Different Domains in the Past, Present and Future",2012 23rd International Workshop on Database and Expert Systems Applications,2012,"The foundations and technologies of Case-Based Reasoning (CBR) has emerged from academic projects to commercial used applications which are supporting everyday life. Everything changes in the long term which includes planning, modeling and developing reasoning software due to new aspects such as big data and various new services provided by cloud computing. Maintaining a balance between achieving the requirements and maximizing the return on investment of a software application can be seen as a difficult task. In this paper we will present the evolution of CBR software over the past years in order to gain an understanding concerning some crucial points when creating a CBR system.",2
57,Employing Expert Opinion and Software Metrics for Reasoning About Software,"Third IEEE International Symposium on Dependable, Autonomic and Secure Computing (DASC 2007)",2007,"When comparing software programs based on certain qualities there is usually more than one metric that can be used. Often these metrics may contradict one another or there may be no standard acceptance thresholds. In this work we demonstrate how the Analytical Hierarchy Process (AHP) can be used to mitigate the aforementioned deficiencies in metrics-based software decision making. We illustrate the procedure by incorporating value judgments from a group of experts into an existing metrics data set to rank the design complexity in three imaging software packages. In this case the injection of expert opinion in a formalized framework minimizes the problems associated with conflicting metrics. The contribution of this work is to demonstrate how a combination of expert opinion and tool-collected measures can be used to reason about software programs. The methodology employed can be easily modified to include different metrics, applications and weights, thus providing a practical assessment tool for decision making about software.",1
58,Software process modeling using object-oriented programming and rule-based reasoning,Proceedings of AUTOTESTCON '94,1994,"In the context of software process modeling (process definition and simulation), this paper presents an object-oriented programming and rule-based reasoning method to simulate a part of an existing software process model. Presently, our process simulation emphasizes process training and enactment. That is, the simulation is on the ""what and how"" portion of the model.<>",0
59,Modeling constraints improves software architecture design reasoning,2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture,2009,"Requirements and project-related factors influence architectural design in intricate and multivariate ways. We are only beginning to understand some of the tacit but fundamental mechanisms involved in reasoning about design decisions, and one of them concerns the role of design constraints. This paper examines design constraints and how they shape design solutions. We introduce a design constraint model and an architectural design reasoning process for specifying design constraints and checking for design conflicts. We experiment with using logic for constraint verification with the alloy tool.",6
60,Approximate reasoning about software models,"IEEE Annual Meeting of the Fuzzy Information, 2004. Processing NAFIPS '04.",2004,"This article introduces an approximating reasoning approach to evaluating models for system design relative to a system design standard. A fundamental problem in system design is that feature values extracted from experimental design models tend not to match exactly patterns associated with standard design models. It is not generally known how to measure the extent that a particular system design conforms to a standard design pattern. The rough set approach introduced by Zdzislaw Pawlak provides a basis for concluding to what degree a particular model for a system design is a part of a set of a set of models representing a standard. Sample models exhibiting selected behavioral design patterns are briefly considered by way of illustration of design model approximation. In this paper, an approximation space for design patterns is introduced. In addition, an approach to the satisfaction-based classification of design models is also presented.",0
61,Formalization of multiagent reasoning,Proceedings. International Conference on Parallel Computing in Electrical Engineering,2002,"The paper presents a new formal language for describing multiagent systems, which are collections of interacting, autonomous agents. The research work includes the description of the fundamental features of agents (processes) as well as the way they communicate with each other. The language defined in the paper allows describing the properties of systems such as deadlock, termination, and fairness. Two main results are presented for the defined logic: non-compactness of the semantic consequence relation and the lack of the deduction theorem. The article is an introduction to further research.",0
62,A Electric Network Reconfiguration Strategy with Case-Based Reasoning for the Smart Grid,2019 8th Brazilian Conference on Intelligent Systems (BRACIS),2019,"The complexity, heterogeneity and scale of electrical networks have grown far beyond the limits of exclusively human-based management at the Smart Grid (SG). Likewise, researchers cogitate the use of artificial intelligence and heuristics techniques to create cognitive and autonomic management tools that aim better assist and enhance SG management processes like in the grid reconfiguration. The development of self-healing management approaches towards a cognitive and autonomic distribution power network reconfiguration is a scenario in which the scalability and on-the-fly computation are issues. This paper proposes the use of Case-Based Reasoning (CBR) coupled with the HATSGA algorithm for the fast reconfiguration of large distribution power networks. The suitability and the scalability of the CBR-based reconfiguration strategy using HATSGA algorithm are evaluated. The evaluation indicates that the adopted HATSGA algorithm computes new reconfiguration topologies with a feasible computational time for large networks. The CBR strategy looks for managerial acceptable reconfiguration solutions at the CBR database and, as such, contributes to reduce the required number of reconfiguration computation using HATSGA. This suggests CBR can be applied with a fast reconfiguration algorithm resulting in more efficient, dynamic and cognitive grid recovery strategy.",2
63,System of Systems for Tripwires Activation of Algorithms and Reasoning (STAAR) for Analysis of Mission Success,2018 13th Annual Conference on System of Systems Engineering (SoSE),2018,"The flood of data from Multi-Intelligence sources (e.g., air and space sensors, street cameras, and social media) is overwhelming mission operators who manually or semi-autonomously ingest and make decisions on these data. This data glut is driving the development of Systems of Systems (SoS) solutions that exhibit emergent behavior evolving to fully autonomous methods that allow end users to focus on critical data first in order to make timely decisions and assure mission success.",0
64,Semantic Network Model: A Reasoning Engine for Software Requirements,2015 20th International Conference on Engineering of Complex Computer Systems (ICECCS),2015,"In this paper, we present a semantic network model (SNM) as a reasoning engine for the requirements models. The SNM consists of the vertices and the edges, in which they store information of the models and their interrelations. The SNM, through a semi-automated normalisation process, helps the user (1) to assign states to the models and their relations as to whether they can be included, excluded, or undecided, (2) to eliminate redundant interrelations, (3) to avoid over-specification, and (4) to visualise a simplified overview of the whole system. Finally, we formulate the well-formedness of the SNM, which indicates whether the given models can produce a formal specification. We also evaluate our techniques using several case studies.",1
65,Using Ontology Reasoning in Building a Simple and Effective Dialog System for a Smart Home System,"2015 IEEE International Conference on Systems, Man, and Cybernetics",2015,"This paper presents a dialog system for the user in interacting with a smart home system. Instead of using just a voice control for appliances, a dialog system gives the user a more natural way of communication with the smart home. The dialog system can take different forms of instruction from the user and provides services to the user. The user can inquire the system about some information instead of just ordering appliances to operate. With a dialog system, the system can also give a more informative response to the user. This paper focuses on processing the semantic information from the user input and producing a set of clear service request to send to the service provider. By limiting the application to a smaller set of services, we introduce an ontology reasoning technique to construct a simple dialog system that accepts explicit and implicit user requests. Two different kinds of ontology, the home ontology and the family member ontology, are constructed. A prototype system is presented along with demonstration using scenarios to show the result of our work.",4
66,Meta-reasoning for a distributed agent architecture,Proceedings of the 33rd Southeastern Symposium on System Theory (Cat. No.01EX460),2001,"Agent based computing offers the ability to decentralize computing solutions by incorporating autonomy and intelligence into cooperating, distributed applications. It provides an effective medium for expressing solutions to problems that involve interaction with real-world environments and allows modelling of the world state and its dynamics. This model can be then used to determine how candidate actions affect the world and how to choose the best from a set of actions. Most agent paradigms overlook real-time requirements and computing resource constraints. We discuss the application of agent based computing to RoboCup and examine methods to improve it. In particular, we discuss the incorporation of a meta-level reasoning mechanism that handles individual agent organization, plan generation, task allocation, integration and plan execution. We also propose an architecture where a meta-agent is further enhanced by combining it with system-level resource allocation and optimization. The approach adopted by us unifies agent based computing with adaptive resource management for dynamic real-time systems. The goal is to build and implement a distributed, intelligent, agent based system for dynamic real-time applications.",2
67,A neural network case-based reasoning and its application,Proceedings. International Conference on Machine Learning and Cybernetics,2002,"An important factor that plays a major role in determining the performance of a case-based system is the complexity and the accuracy of the case retrieval phase. The nearest neighbor search, knowledge-based method and the inductive approach all suffer from serious drawbacks. This paper examines the possibility of using neural networks as a method of retrieval in such case-based systems. A simple efficient case-based system structure is constructed with neural networks. Also, some algorithms are proposed and tested. The application results show that the approach is efficient.",2
68,An application of Bayesian reasoning to improve functional test diagnostic effectiveness,"Proceedings, IEEE AUTOTESTCON",2002,"This paper describes a software package that embodies a Bayesian reasoning engine and modeling schema to significantly improve the ability to discern the defective component causing a failed functional test. This software approach brings to functional test similar diagnostic capabilities that have become familiar to test engineers working with X-ray, automatic optical inspection (AOI) and in-circuit test (ICT) test technologies. This software package, known as Fault Detective, provides significantly improved diagnostic accuracy as compared to human efforts, and works with exactly the same data set as is currently available for diagnostic purposes. The model is based on the interaction of the functional test suite with the product functional block diagram. This approach also means that the software package is highly independent of the technology behind the system being diagnosed.",1
69,Case-based reasoning in software engineering,IEE Colloquium on Case-Based Reasoning,1993,"Case-based reasoning provides a new and revealing perspective for the reuse of system specifications during requirements engineering. The authors examine case-based reasoning with old specifications during requirements engineering using complex examples of requirements reuse and case studies of observed successful case-based reuse. Intelligent tool support for requirements engineering needs domain knowledge to develop and validate requirements specifications. The authors propose a paradigm for specification reuse which exploits the different skills and domain knowledge possessed by software engineers and support tools. A similar approach has also been implemented in several case-based reasoning tools. An intelligent advisor, known as AIR, has been designed and implemented to assist reuse of old specification cases.<>",2
70,A logical framework for modeling and reasoning about the evolution of requirements,Proceedings of ISRE '97: 3rd IEEE International Symposium on Requirements Engineering,1997,"We present a logical framework for modeling and reasoning about the evolution of requirements. We demonstrate how a sufficiently rich meta level logic can formally capture intuitive aspects of managing changes to requirements models, while maintaining completeness and consistency. We consider a theory as the deductive closure of a given set of axioms and conclude that software engineering is concerned, in essence, with, building and managing large theories. This theory construction commences with the development of the requirements model which we view as a theory of some nonmonotonic logic. Requirements evolution then involves the mapping of one such theory to another. Exploiting the deductive power of the theory of belief revision and nonmonotonic reasoning we develop a formal description of this mapping, as well as the requirements engineering process itself. This work thus offers a rigorous approach to reasoning about requirements evolution and a important focus for defining semantically well founded methods and tools for the effective management of changing requirements.",51
71,On requirements representation and reasoning using answer set programming,2014 IEEE 1st International Workshop on Artificial Intelligence for Requirements Engineering (AIRE),2014,"We describe an approach to the representation of requirements using answer set programming and how this leads to a vision for the role of artificial intelligence techniques in software engineering with a particular focus on adaptive business systems. We outline how the approach has developed over several years through a combination of commercial software development and artificial intelligence research, resulting in: (i) a metamodel that incorporates the notion of runtime requirements, (ii) a formal language for their representation and its supporting computational model (InstAL), and (iii) a software architecture that enables monitoring of distributed systems. The metamodel is the result of several years experience in the development of business systems for e-tailing, while InstAL and the runtime monitor is on-going research to support the specification, verification and application of normative frameworks in distributed intelligent systems. Our approach derives from the view that in order to build agile systems, the components need to be structured more like software that controls robots, in that it is designed to be relatively resilient in the face of a non-deterministic, dynamic, complex environment about which there is incomplete information. Thus, degrees of autonomy become a strength and an opportunity, but must somehow be constrained by informing these autonomous components what should be done in a certain situation or what system state ought to be achieved through norms as expressions of requirements. Because such a system made up of autonomous components is potentially behaviourally complex and not just complicated, it becomes essential to monitor both whether norms/requirements are being fulfilled and if not why not. Finally, because control over the system can be expressed through requirements in the form of data that can be changed, a route is opened to adjustment and dynamic re-direction of running systems.",3
72,Combined propagation-based reasoning with goal and feature models,2014 IEEE 4th International Model-Driven Requirements Engineering Workshop (MoDRE),2014,"The User Requirements Notation (URN) is an international requirements engineering standard published by the International Telecommunication Union. URN supports goal-oriented and scenario-based modeling as well as analysis. Feature modeling, on the other hand, is a well-establishing technique for capturing commonalities and variabilities of Software Product Lines. When combined with URN, it is possible to reason about the impact of feature configurations on stakeholder goals and system qualities, thus helping to identify the most appropriate features for a stakeholder. Combined reasoning of goal and feature models is also fundamental to Concern-Driven Development, where concerns are composed not only based on functionality expressed with feature models, but also based on impact on stakeholder goals. Therefore, an analysis technique for feature and goal models based on a single conceptual model is desirable, because of its potential to streamline model analysis and reduce the complexity of the analysis framework. This paper introduces such a technique, i.e., a single, propagation-based reasoning algorithm that supports combined reasoning of goal and feature models and offers additional usability improvements over existing goal-oriented reasoning mechanisms.",1
73,Automated reasoning for derivation of products in MD-SPLE,2011 6th Colombian Computing Congress (CCC),2011,"This article presents a strategy that aims to support model-oriented software product line architects on making the decisions required to derive products. Together with the strategy, we present a tool that uses the power of constraint programming to create and use decision models. The models make it possible to relate model transformation rules and product line variants (alternatives) in order to enable the selection of the necessary rules according to the variants selected by a product designer. The greatest innovation of our contribution is that we provide architects with a tool that takes into account the possible interactions between variants of a product line and makes it possible to model the decisions required to derive products reusing existing model transformation rules as much as possible.",0
74,DeepWeak: Reasoning common software weaknesses via knowledge graph embedding,"2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",2018,"Common software weaknesses, such as improper input validation, integer overflow, can harm system security directly or indirectly, causing adverse effects such as denial-of-service, execution of unauthorized code. Common Weakness Enumeration (CWE) maintains a standard list and classification of common software weakness. Although CWE contains rich information about software weaknesses, including textual descriptions, common sequences and relations between software weaknesses, the current data representation, i.e., hyperlined documents, does not support advanced reasoning tasks on software weaknesses, such as prediction of missing relations and common consequences of CWEs. Such reasoning tasks become critical to managing and analyzing large numbers of common software weaknesses and their relations. In this paper, we propose to represent common software weaknesses and their relations as a knowledge graph, and develop a translation-based, description-embodied knowledge representation learning method to embed both software weaknesses and their relations in the knowledge graph into a semantic vector space. The vector representations (i.e., embeddings) of software weaknesses and their relations can be exploited for knowledge acquisition and inference. We conduct extensive experiments to evaluate the performance of software weakness and relation embeddings in three reasoning tasks, including CWE link prediction, CWE triple classification, and common consequence prediction. Our knowledge graph embedding approach outperforms other description- and/or structure-based representation learning methods.",33
75,ReFixar: Multi-version Reasoning for Automated Repair of Regression Errors,2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE),2021,"Software programs evolve naturally as part of the ever-changing customer needs and fast-paced market. Software evolution, however, often introduces regression bugs, which un-duly break previously working functionalities of the software. To repair regression bugs, one needs to know when and where a bug emerged from, e.g., the bug-inducing code changes, to narrow down the search space. Unfortunately, existing state-of-the-art automated program repair (APR) techniques have not yet fully exploited this information, rendering them less efficient and effective to navigate through a potentially large search space containing many plausible but incorrect solutions. In this work, we revisit APR on repairing regression errors in Java programs. We empirically show that existing state-of-the-art APR techniques do not perform well on regression bugs due to their algorithm design and lack of knowledge on bug inducing changes. We subsequently present ReFixar, a novel repair technique that leverages software evolution history to generate high quality patches for Java regression bugs. The key novelty that empowers ReFixar to more efficiently and effectively traverse the search space is two-fold: (1) A systematic way for multi-version reasoning to capture how a software evolves through its history, and (2) A novel search algorithm over a set of generic repair templates, derived from the principle of incorrectness logic and informed by both past bug fixes and their bug-inducing code changes; this enables ReFixar to achieve a balance of both genericity and specificity, i.e., generic common fix patterns of bugs and their specific contexts. We compare ReFixar against the state-of-the-art APR techniques on a data set of 51 real regression bugs from 28 large real-world programs. Experiments show that ReFixar significantly outperforms the best baseline by a large margin, i.e., ReFixar can fix correctly 24 bugs while the best baseline can only correctly fix 9 bugs.",2
76,Analyzing the non-functional requirements to improve accuracy of software effort estimation through case based reasoning,2015 10th International Conference on Intelligent Systems: Theories and Applications (SITA),2015,"Producing accurate software effort estimation is essential for effective software project management that remains a considerable challenge to software engineering and software industry in general. Many methods have been proposed to increase the accuracy of estimating the software project size, effort, or cost. However, the primary focus has been on functional requirements FRs. We are convinced that the rigorous estimation requires a thorough knowledge of all the requirements of the software to be measured. Consequently, a clear identification of the FRs and NFRs as well as a strong understanding of the relationships existing between them is crucial to get measurements closer to reality. In this paper, we propose an early software size and effort estimation method based on a combination of COSMIC and case based reasoning that uses individual requirement measurements as a solution to improve the performance of CBR and to increase the precision of the estimations. This hybrid technique consists in adjusting the FRs measurements by the effect of NFRs with which they are connected. A new link requirements model is proposed in which the possible relationships existing between FRs and NFRs are expressed. This combination will help to efficiently include NFRs, and their relations with FRs, earlier in the measurement process and throughout the life cycle of the software development project.",3
77,Sidekicks and Superheroes: A Look into Student Reasoning about Concurrency with Threads versus Actors,2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),2020,"When computations consist of different processes or threads that may execute at the same time or in an interleaved manner, we say the computation is concurrent or that it exhibits concurrency. University students often struggle to reason about concurrency. Researchers have presented students with natural language descriptions of scenarios involving concurrency and have evaluated students' natural language responses to explore their prior knowledge and to determine characteristics of student reasoning about concurrency. However, natural language responses are necessarily abstract and pertain to the design stage of software development, while studies in which students are asked to implement solutions provide a more concrete view of student reasoning and reveal difficulties that arise when putting design into practice. In this work we build upon prior work and ask: What are common and problematic features in student approaches to solving concurrency-related problems? How do these features differ from the design phase to the implementation phase of the software development life cycle? In this study we asked students enrolled in a jointly offered upper division undergraduate / MS level course on “Programming with Concurrency” to implement a solution to the same problem (a side-kick/superhero version of the party matching problem) using two different approaches: Threads-based in Java, and Actors-based in Scala. We performed qualitative feature analysis of their implementations and their written reflections to better understand student reasoning when programming concurrent solutions. The feature of additional complexity was found in our earlier natural language study in which students described their designs. Additional complexity was also represented in student implementations in this study and adversely impacted student success as their programs became cumbersome and hard to trace. Student reflections provided insight into their resistance to modeling prior to implementation, and indicated that they found formal modeling techniques difficult. These findings suggest that lighter weight interventions that address student difficulties earlier in the development process may be more palatable to students and thus have substantial impact.",0
78,Rationalism with a dose of empiricism: Case-based reasoning for requirements-driven self-adaptation,2014 IEEE 22nd International Requirements Engineering Conference (RE),2014,"Requirements-driven approaches provide an effective mechanism for self-adaptive systems by reasoning over their runtime requirements models to make adaptation decisions. However, such approaches usually assume that the relations among alternative behaviours, environmental parameters and requirements are clearly understood, which is often simply not true. Moreover, they do not consider the influence of the current behaviour of an executing system on adaptation decisions. In this paper, we propose an improved requirements-driven self-adaptation approach that combines goal reasoning and case-based reasoning. In the approach, past experiences of successful adaptations are retained as adaptation cases, which are described by not only requirements violations and contexts, but also currently deployed behaviours. The approach does not depend on a set of original adaptation cases, but employs goal reasoning to provide adaptation solutions when no similar cases are available. And case-based reasoning is used to provide more precise adaptation decisions that better reflect the complex relations among requirements violations, contexts, and current behaviours by utilizing past experiences. Our experimental study with an online shopping benchmark shows that our approach outperforms both requirements-driven approach and case-based reasoning approach in terms of adaptation effectiveness and overall quality of the system.",20
